date,code,name,close,sma5,sma20,sma60,rsi,volume,volume_ratio,day_change_pct,prev_day_change_pct,high_price,low_price,atr_pct
2026-03-16,6740,ジャパンディスプレイ,121.0,95.8,44.1,29.0,,236881100,0.98,,,,,
2026-03-16,4564,オンコセラピー・サイエンス,23.0,22.6,21.2,21.1,,81508600,1.54,,,,,
2026-03-16,4597,ソレイジア・ファーマ,32.0,32.6,32.1,30.4,,38425900,1.27,,,,,
2026-03-16,5016,ＪＸ金属,4005.0,4038.8,3861.0,2838.4,,29823700,0.56,,,,,
2026-03-16,3113,ＵＮＩＶＡ・Ｏａｋホールディングス,88.0,74.0,72.0,70.9,,20427100,80.34,,,,,
2026-03-16,7777,スリー・ディー・マトリックス,521.0,665.2,631.0,484.0,,18633400,1.52,,,,,
2026-03-16,3656,ＫＬａｂ,391.0,408.2,352.9,348.6,,17602800,1.74,,,,,
2026-03-16,3070,ジェリービーンズグループ,84.0,107.2,103.8,93.2,,16749400,3.54,,,,,
2026-03-16,6613,ＱＤレーザ,1440.0,1101.0,854.8,565.2,,15285300,1.3,,,,,
2026-03-16,5803,フジクラ,25630.0,25513.0,25002.5,20806.2,,13783400,1.01,,,,,
2026-03-16,1605,ＩＮＰＥＸ,4370.0,4262.8,3925.2,3500.7,,10523800,0.67,,,,,
2026-03-16,1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,615.7,573.0,487.7,427.7,,9862860,2.25,,,,,
2026-03-16,8058,三菱商事,5175.0,5180.6,5101.5,4381.8,,9665300,0.74,,,,,
2026-03-16,4063,信越化学工業,6505.0,6337.0,6030.1,5473.9,,9079200,0.82,,,,,
2026-03-16,5801,古河電気工業,29405.0,29246.0,26820.5,17049.7,,9034900,1.09,,,,,
2026-03-16,9130,共栄タンカー,2348.0,2072.0,1543.0,1254.5,,7700100,3.68,,,,,
2026-03-16,7532,パン・パシフィック・インターナショナルホールディングス,1003.5,1018.1,1012.2,962.8,,7203800,0.62,,,,,
2026-03-16,6752,パナソニック　ホールディングス,2570.5,2586.4,2501.9,2283.7,,7090800,0.75,,,,,
2026-03-16,8031,三井物産,5974.0,5890.8,5749.3,5211.5,,6490500,0.69,,,,,
2026-03-16,4881,ファンペップ,115.0,106.2,98.5,89.6,,6443400,1.27,,,,,
2026-03-16,6356,日本ギア工業,1806.0,1878.0,1437.3,1076.5,,5794000,0.63,,,,,
2026-03-16,5802,住友電気工業,10150.0,10310.2,9930.1,7892.3,,5610400,0.58,,,,,
2026-03-16,9107,川崎汽船,2645.5,2654.0,2519.8,2324.8,,5370000,0.54,,,,,
2026-03-16,1514,住石ホールディングス,1051.0,1009.0,977.5,751.9,,5129400,1.59,,,,,
2026-03-16,5985,サンコール,2071.0,2127.6,1497.5,1149.9,,4921700,0.74,,,,,
2026-03-16,6920,レーザーテック,37800.0,36534.0,33362.5,32771.8,,4629800,0.85,,,,,
2026-03-16,6965,浜松ホトニクス,2064.0,2060.7,1973.0,1799.6,,4355000,0.44,,,,,
2026-03-16,1662,石油資源開発,2562.0,2488.4,2395.4,1996.0,,4130600,0.74,,,,,
2026-03-16,4594,ブライトパス・バイオ,72.0,72.2,67.3,61.3,,3997300,0.25,,,,,
2026-03-16,4893,ノイルイミューン・バイオテック,205.0,173.8,161.2,150.0,,3973900,3.28,,,,,
2026-03-16,6140,旭ダイヤモンド工業,1401.0,1384.2,1373.5,1049.2,,3828600,0.48,,,,,
2026-03-16,4996,クミアイ化学工業,808.0,754.4,725.5,707.7,,3650200,3.78,,,,,
2026-03-16,6963,ローム,3300.0,3309.8,2929.4,2596.1,,3595300,0.44,,,,,
2026-03-16,5074,テスホールディングス,671.0,663.2,591.7,443.1,,3512600,0.96,,,,,
2026-03-16,5019,出光興産,1441.5,1443.0,1426.7,1317.4,,3395600,0.68,,,,,
2026-03-16,9101,日本郵船,5624.0,5663.0,5418.4,5195.2,,3065000,0.53,,,,,
2026-03-16,9519,レノバ,820.0,760.8,727.9,700.5,,3015200,2.91,,,,,
2026-03-16,9104,商船三井,6039.0,6115.8,5768.3,5118.6,,2957500,0.46,,,,,
2026-03-16,7453,良品計画,3646.0,3686.0,3588.6,3231.8,,2878200,0.64,,,,,
2026-03-16,1671,ＷＴＩ原油価格連動型上場投信,5197.0,4802.6,3933.8,3372.3,,2839796,1.15,,,,,
2026-03-16,3840,パス,83.0,83.2,62.1,59.8,,2829000,0.42,,,,,
2026-03-16,2776,新都ホールディングス,140.0,140.0,136.4,129.6,,2736300,2.3,,,,,
2026-03-16,9412,スカパーＪＳＡＴホールディングス,2955.0,2932.4,2854.1,2440.7,,2599700,1.58,,,,,
2026-03-16,9513,電源開発,3874.0,3888.6,3727.0,3419.9,,2120000,1.39,,,,,
2026-03-16,4591,リボミック,99.0,100.6,90.5,84.9,,2058600,0.21,,,,,
2026-03-16,9115,明海グループ,923.0,825.6,786.8,717.2,,1960900,1.99,,,,,
2026-03-16,7719,東京衡機,793.0,781.8,619.4,411.0,,1888400,0.89,,,,,
2026-03-16,4091,日本酸素ホールディングス,6233.0,5793.0,5762.3,5174.1,,1810500,2.28,,,,,
2026-03-16,2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,2864.0,2495.4,2031.2,1659.2,,1751859,1.12,,,,,
2026-03-16,5381,マイポックス,1109.0,914.8,886.8,649.8,,1705300,2.88,,,,,
2026-03-16,1407,ウエストホールディングス,1927.0,1766.4,1704.7,1604.2,,1586700,3.08,,,,,
2026-03-16,6521,オキサイド,5040.0,4816.0,3589.9,2437.1,,1586600,0.99,,,,,
2026-03-16,6232,ＡＣＳＬ,1703.0,1682.4,1422.1,1172.0,,1586300,0.84,,,,,
2026-03-16,4593,ヘリオス,403.0,419.0,404.4,355.9,,1548800,0.36,,,,,
2026-03-16,2269,明治ホールディングス,4000.0,3917.4,3904.4,3698.9,,1500700,1.06,,,,,
2026-03-16,6619,ダブル・スコープ,182.0,182.0,173.1,165.6,,1450100,0.76,,,,,
2026-03-16,5844,京都フィナンシャルグループ,4374.0,4254.4,3890.2,3710.5,,1369000,0.55,,,,,
2026-03-16,2160,ジーエヌアイグループ,3245.0,3438.0,3109.6,2704.1,,1300100,0.65,,,,,
